"Paper Title: Approximating Congestion+ Dilation in Networks via"" Quality of Routing&# x201D; Games",,
Citing Paper Number,Paper Title,Over-cite Count
1,On the partially overlapped channel assignment on wireless mesh network backbone: A game theoretic approach,2
2,Artificial intelligence based cognitive routing for cognitive radio networks,0
3,High-throughput transmission-quality-aware broadcast routing in cognitive radio networks,No PDF Found
4, An improved multipath MANET routing using link estimation and swarm intelligence,No PDF Found
5,Routing games with progressive filling,0
6,Anycast tree-based routing in mobile wireless sensor networks with multiple sinks,25
7,Adaptive message forwarding for avoiding broadcast storm and guaranteeing delay in active safe driving VANET,14
8,Comprehensive event based estimation of sensor node distribution strategies using classical flooding routing protocol in wireless sensor networks,0
9,Collaborative-learning-automata-based channel assignment with topology preservation for wireless mesh networks under QoS constraints,6
10,An adaptive load-aware routing algorithm for multi-interface wireless mesh networks,3
11,An overview of performance trade-off mechanisms in routing protocol for green wireless sensor networks,26
12,Review of vehicular ad hoc network communication models including WVANET (Web VANET) model and WVANET future research directions,No PDF Found
13,A new clustering routing method based on PECE for WSN,No PDF Found
14,Towards sensitive link quality prediction in ad hoc routing protocol based on grey theory,13
15, A beacon transmission power control algorithm based on wireless channel load forecasting in VANETs,No PDF Found
16,Energy harvesting and battery power based routing in wireless sensor networks,29
17,Stretch in bottleneck games,No PDF Found
18,Joint optimization and threshold structure dynamic programming with enhanced priority scheme for adaptive VANET MAC,27
19,Load balancing ad hoc on-demand multipath distance vector (LBAOMDV) routing protocol,No PDF Found
20,Modeling and simulating traffic congestion propagation in connected vehicles driven by temporal and spatial preference,29
21,A novel multi metric QoS routing protocol for MANET,No PDF Found
22,Upper bounds for the minÉ??max and minÉ??sum cost online problems in wireless ad hoc networks,16
23,QoE-based routing algorithms for H. 264/SVC video over ad-hoc networks,No PDF Found
24,A priority-based CCA threshold adjusting method for EWM dissemination in vehicular ad-hoc networks,15
25,Load balancing maximal minimal nodal residual energy ad hoc on-demand multipath distance vector routing protocol (LBMMRE-AOMDV),21
26,"Artificial Intelligence-Based Techniques for Emerging Heterogeneous Network: State of the Arts, Opportunities, and Challenges",No PDF Found
27, A unified approach for detecting and eliminating selfish nodes in MANETs using TBUT,No PDF Found
28,Sharing spray and wait routing algorithm in opportunistic networks,No PDF Found
29,Way-Point Multicast Routing Framework for improving QoS in hybrid wireless mesh networks,No PDF Found
30,Self soft fault detection based routing protocol for vehicular ad hoc network in city environment,21
,Total,247
"
",,
Paper Title: On the partially overlapped channel assignment on wireless mesh network backbone: A game theoretic approach,,
Citing Paper Number,Paper Title,Over-cite Count
1,Opportunistic spectrum access using partially overlapping channels: Graphical game and uncoupled learning,1
2,Collaborative learning automata-based routing for rescue operations in dense urban regions using vehicular sensor networks,4
3,Networks of learning automata for the vehicular environment: a performance analysis study,No PDF Found
4,An intelligent approach for building a secure decentralized public key infrastructure in VANET,4
5,Bayesian coalition game as-a-service for content distribution in internet of vehicles,2
6,An optimal data collection technique for improved utility in UAS-aided networks,2
7,Novel power-based routing metrics for multi-channel multi-interface wireless mesh networks,6
8,Artificial intelligence based cognitive routing for cognitive radio networks,0
9,Coalition games for spatio-temporal big data in internet of vehicles environment: a comparative analysis,2
10,Resource allocation for multi-channel multi-radio wireless backhaul networks: a game-theoretic approach,No PDF Found
11,Bayesian coalition negotiation game as a utility for secure energy management in a vehicles-to-grid environment,4
12,Fuzzy logic based unequal clustering for wireless sensor networks,17
13,A comprehensive survey of potential game approaches to wireless networks,1
14,Partially overlapped channel assignment for multi-channel multi-radio wireless mesh networks,No PDF Found
15,A game-theoretic approach to exploit partially overlapping channels in dynamic and distributed networks,0
16,On channel assignment for multicast in multi-radio multi-channel wireless mesh networks: A survey,0
17,When reputation enforces evolutionary cooperation in unreliable MANETs,6
18,Partially overlapping tones for uncoordinated networks,1
19,A strategy-proof combinatorial heterogeneous channel auction framework in noncooperative wireless networks,6
20,Collaborative-learning-automata-based channel assignment with topology preservation for wireless mesh networks under QoS constraints,6
21,An overview of performance trade-off mechanisms in routing protocol for green wireless sensor networks,26
22,Interference-aware game-based channel assignment algorithm for MR-MC WMNs,2
23,Toward fair maximization of energy efficiency in multiple uas-aided networks: a game-theoretic methodology,No PDF Found
24,Review of vehicular ad hoc network communication models including WVANET (Web VANET) model and WVANET future research directions,No PDF Found
25, A beacon transmission power control algorithm based on wireless channel load forecasting in VANETs,No PDF Found
26,5G mobile terminals with advanced QoS-based user-centric aggregation (AQUA) for heterogeneous wireless and mobile networks,No PDF Found
27,Design of logical topology with KÉ?êconnected constraints and channel assignment for multiÉ?êradio wireless mesh networks,No PDF Found
28,Joint optimization and threshold structure dynamic programming with enhanced priority scheme for adaptive VANET MAC,27
29,Joint design of density of access points and partially overlapped channel assignment for capacity optimization in wireless networks,1
30,Comparative study of game theoretic approaches in distributed system,No PDF Found
,Total,118
"
",,
Paper Title: Joint forensics-scheduling strategy for delay-sensitive multimedia applications over heterogeneous networks,,
Citing Paper Number,Paper Title,Over-cite Count
1,CMT-QA: quality-aware adaptive concurrent multipath data transfer in heterogeneous wireless networks,1
2, myEvalSVC: an Integrated Simulation Framework for Evaluation of H. 264/SVC Transmission.,No PDF Found
3,Dynamic multiservice load balancing in cloud-based multimedia system,No PDF Found
